,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,"80,000","45,000 kms",Petrol
1,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40 kms,Diesel
2,Maruti Suzuki Alto,Maruti,2018,Ask For Price,"22,000 kms",Petrol
3,Hyundai Grand i10,Hyundai,2014,"3,25,000","28,000 kms",Petrol
4,Ford EcoSport Titanium,Ford,2014,"5,75,000","36,000 kms",Diesel
5,Ford EcoSport Titanium,Ford,2015,Ask For Price,"59,000 kms",Diesel
6,Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel
7,Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol
8,Ford EcoSport Ambiente,Ford,2016,"8,30,000","24,530 kms",Diesel
9,Maruti Suzuki Alto,Maruti,2015,"2,50,000","60,000 kms",Petrol
10,Skoda Fabia Classic,Skoda,2010,"1,82,000","60,000 kms",Petrol
11,Maruti Suzuki Stingray,Maruti,2015,"3,15,000","30,000 kms",Petrol
12,Hyundai Elite i20,Hyundai,2014,"4,15,000","32,000 kms",Petrol
13,Mahindra Scorpio SLE,Mahindra,2015,"3,20,000","48,660 kms",Diesel
14,Hyundai Santro Xing,Hyundai,2007,"80,000","45,000 kms",Petrol
15,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40 kms,Diesel
16,Audi A8,Audi,2017,"10,00,000","4,000 kms",Petrol
17,Audi Q7,Audi,2014,"5,00,000","16,934 kms",Diesel
18,Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel
19,Maruti Suzuki Alto,Maruti,2014,"1,60,000","35,550 kms",Petrol
20,Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel
21,Mahindra Scorpio S10,Mahindra,2016,"3,10,000","39,522 kms",Diesel
22,Maruti Suzuki Alto,Maruti,2015,"75,000","39,000 kms",Petrol
23,Hyundai i20 Sportz,Hyundai,2012,"1,00,000","55,000 kms",Petrol
24,Hyundai i20 Sportz,Hyundai,2012,"1,00,000","55,000 kms",Petrol
25,Hyundai i20 Sportz,Hyundai,2012,"1,00,000","55,000 kms",Petrol
26,Maruti Suzuki Alto,Maruti,2017,"1,90,000","72,000 kms",Petrol
27,Maruti Suzuki Vitara,Maruti,2016,"2,90,000","15,975 kms",Diesel
28,Maruti Suzuki Alto,Maruti,2008,"95,000","70,000 kms",Petrol
29,Mahindra Bolero DI,Mahindra,2017,"1,80,000","23,452 kms",Diesel
30,Maruti Suzuki Swift,Maruti,2014,"3,85,000","35,522 kms",Diesel
31,Mahindra Scorpio S10,Mahindra,2015,"2,50,000","48,508 kms",Diesel
32,Maruti Suzuki Swift,Maruti,2017,"1,80,000","15,487 kms",Petrol
33,Maruti Suzuki Wagon,Maruti,2013,"1,05,000","39,000 kms",Petrol
34,Maruti Suzuki Wagon,Maruti,2013,"1,05,000","39,000 kms",Petrol
35,Toyota Innova 2.0,Toyota,2012,"6,50,000","82,000 kms",Diesel
36,Renault Lodgy 85,Renault,2018,"6,89,999","20,000 kms",Diesel
37,Skoda Yeti Ambition,Skoda,2012,"4,48,000","68,000 kms",Diesel
38,Maruti Suzuki Baleno,Maruti,2017,"5,49,000","32,000 kms",Diesel
39,Renault Duster 110,Renault,2012,"5,01,000","38,000 kms",Diesel
40,Renault Duster 85,Renault,2013,"4,89,999","27,000 kms",Diesel
41,Honda City 1.5,Honda,2011,"2,80,000","33,000 kms",Petrol
42,Maruti Suzuki Alto,Maruti,2015,"2,50,000","60,000 kms",Petrol
43,Maruti Suzuki Dzire,Maruti,2013,"3,49,999","46,000 kms",Diesel
44,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
45,Honda Amaze 1.5,Honda,2015,"3,45,000","36,000 kms",Diesel
46,Honda City,Honda,2015,"4,99,999","55,000 kms",Petrol
47,Datsun Redi GO,Datsun,2017,"2,35,000","16,000 kms",Petrol
48,Maruti Suzuki SX4,Maruti,2010,"2,49,999","36,000 kms",Petrol
49,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000","47,000 kms",Diesel
50,Mahindra Bolero DI,Mahindra,2017,"1,80,000","23,452 kms",Diesel
51,Maruti Suzuki Swift,Maruti,2014,"3,85,000","35,522 kms",Diesel
52,Mahindra Scorpio S10,Mahindra,2015,"2,50,000","48,508 kms",Diesel
53,Maruti Suzuki Swift,Maruti,2017,"1,80,000","15,487 kms",Petrol
54,Maruti Suzuki Wagon,Maruti,2013,"1,05,000","39,000 kms",Petrol
55,Maruti Suzuki Wagon,Maruti,2013,"1,05,000","39,000 kms",Petrol
56,Mahindra Scorpio S10,Mahindra,2015,"3,95,000","35,000 kms",Diesel
57,Maruti Suzuki Swift,Maruti,2017,"2,20,000","30,874 kms",Petrol
58,Honda City ZX,Honda,2017,"1,70,000","15,000 kms",Diesel
59,Maruti Suzuki Wagon,Maruti,2013,"85,000","29,685 kms",Petrol
60,Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel
61,Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol
62,Tata Indigo eCS,Tata,2017,"2,00,000","1,30,000 kms",Diesel
63,Ford EcoSport Ambiente,Ford,2016,"8,30,000","24,530 kms",Diesel
64,Tata Indigo eCS,Tata,2017,"2,00,000","1,30,000 kms",Diesel
65,Mahindra Scorpio SLE,Mahindra,2012,"5,70,000","19,000 kms",Diesel
66,Volkswagen Polo Highline,Volkswagen,2014,"3,15,000","60,000 kms",Petrol
67,Skoda Fabia Classic,Skoda,2010,"1,82,000","60,000 kms",Petrol
68,Maruti Suzuki Stingray,Maruti,2015,"3,15,000","30,000 kms",Petrol
69,Chevrolet Spark LS,Chevrolet,2010,"1,10,000","41,000 kms",Petrol
70,Renault Duster 110PS,Renault,2012,"5,01,000","35,000 kms",Diesel
71,Honda City,Honda,2015,"4,48,999","54,000 kms",Petrol
72,Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
73,Datsun Redi GO,Datsun,2017,"2,35,000","16,000 kms",Petrol
74,Skoda Fabia 1.2L,Skoda,2011,"1,59,500","38,200 kms",Diesel
75,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
76,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
77,Renault Duster,Renault,2014,"4,49,999","50,000 kms",Diesel
78,Mini Cooper S,Mini,2013,"18,91,111","13,500 kms",Petrol
79,Mahindra Scorpio S4,Mahindra,2015,"8,65,000","30,000 kms",Diesel
80,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000","50,000 kms",Diesel
81,Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 kms",Diesel
82,Ford EcoSport,Ford,2017,"4,89,999","39,000 kms",Petrol
83,Honda Brio,Honda,2012,"2,24,999","30,000 kms",Petrol
84,Volkswagen Vento Highline,Volkswagen,2019,"12,00,000","3,600 kms",Diesel
85,Hyundai i20 Magna,Hyundai,2009,"1,95,000","32,000 kms",Petrol
86,Toyota Corolla Altis,Toyota,2010,"3,51,000","38,000 kms",Diesel
87,Hyundai Verna Transform,Hyundai,2008,"1,60,000","45,000 kms",Petrol
88,Toyota Corolla Altis,Toyota,2009,"2,40,000","35,000 kms",Petrol
89,Honda City 1.5,Honda,2005,"90,000","50,000 kms",Petrol
90,Hyundai Elite i20,Hyundai,2014,"4,15,000","32,000 kms",Petrol
91,Skoda Fabia 1.2L,Skoda,2011,"1,55,000","45,863 kms",Diesel
92,BMW 3 Series,BMW,2011,"6,00,000","60,500 kms",Petrol
93,Maruti Suzuki A,Maruti,2011,"1,89,500","12,500 kms",Petrol
94,Toyota Etios GD,Toyota,2013,"3,50,000","60,000 kms",Diesel
95,Ford Figo Diesel,Ford,2012,"2,10,000","35,000 kms",Diesel
96,Maruti Suzuki Swift,Maruti,2014,"3,90,000","35,000 kms",Petrol
97,Chevrolet Beat LT,Chevrolet,2012,"1,35,000","45,000 kms",Diesel
98,BMW 7 Series,BMW,2009,"16,00,000","35,000 kms",Petrol
99,Mahindra XUV500 W8,Mahindra,2013,"7,01,000","38,000 kms",Diesel
100,Hyundai i10 Magna,Hyundai,2014,"2,65,000","18,000 kms",Petrol
101,Hyundai Verna Fluidic,Hyundai,2015,"5,25,000","35,000 kms",Diesel
102,Maruti Suzuki Swift,Maruti,2013,"3,72,000","13,349 kms",Petrol
103,Maruti Suzuki Ertiga,Maruti,2016,"6,35,000","29,000 kms",Petrol
104,Ford EcoSport Titanium,Ford,2014,"5,50,000","44,000 kms",Diesel
105,Maruti Suzuki Ertiga,Maruti,2016,"5,75,000","29,000 kms",Petrol
106,Maruti Suzuki Ertiga,Maruti,2013,"4,85,000","42,000 kms",Diesel
107,Maruti Suzuki Alto,Maruti,2012,"1,55,000","14,000 kms",Petrol
108,Hyundai Grand i10,Hyundai,2014,"3,45,000","49,000 kms",Diesel
109,Honda Amaze 1.2,Honda,2014,"3,25,000","42,000 kms",Petrol
110,Hyundai i20 Asta,Hyundai,2012,"3,29,500","36,200 kms",Diesel
111,Ford Figo Diesel,Ford,2014,"1,95,000","50,000 kms",Diesel
112,Maruti Suzuki Eeco,Maruti,2015,"2,51,111","55,000 kms",Petrol
113,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999","45,000 kms",Petrol
114,Maruti Suzuki Esteem,Maruti,2007,"69,999","51,000 kms",Petrol
115,Maruti Suzuki Ritz,Maruti,2014,"2,99,999","19,000 kms",Petrol
116,Maruti Suzuki Dzire,Maruti,2009,"2,20,000","46,000 kms",Petrol
117,Maruti Suzuki Ritz,Maruti,2013,"3,99,999","33,000 kms",Diesel
118,Maruti Suzuki Swift,Maruti,2013,"3,72,000","13,349 kms",Petrol
119,Maruti Suzuki Dzire,Maruti,2015,"4,50,000","1,04,000 kms",Diesel
120,Toyota Etios Liva,Toyota,2014,"2,70,000","55,000 kms",Petrol
121,Hyundai i20 Sportz,Hyundai,2011,"3,50,000","33,333 kms",Diesel
122,Chevrolet Spark,Chevrolet,2012,"1,58,400","33,600 kms",Petrol
123,Maruti Suzuki Alto,Maruti,2017,"3,50,000","5,600 kms",Petrol
124,Nissan Micra XV,Nissan,2011,"1,79,000","41,000 kms",Petrol
125,Maruti Suzuki Swift,Maruti,2007,"1,25,000","70,000 kms",Petrol
126,Maruti Suzuki Alto,Maruti,2018,"2,00,000","7,500 kms",Petrol
127,Honda Amaze 1.5,Honda,2013,"2,99,000","45,000 kms",Diesel
128,Maruti Suzuki Alto,Maruti,2015,"2,20,000","38,000 kms",Petrol
129,Chevrolet Beat,Chevrolet,2015,"1,50,000","30,000 kms",Petrol
130,Honda City 1.5,Honda,2010,"2,85,000","35,000 kms",Petrol
131,Ford EcoSport Trend,Ford,2016,"8,30,000","24,330 kms",Diesel
132,Hyundai i20 Asta,Hyundai,2009,"2,10,000","65,480 kms",Petrol
133,Maruti Suzuki Swift,Maruti,2013,"3,40,000","41,000 kms",Petrol
134,Tata Indica V2,Tata,2006,"90,000","20,000 kms",Petrol
135,Maruti Suzuki Alto,Maruti,2018,Ask For Price,"28,028 kms",Petrol
136,Hindustan Motors Ambassador,Hindustan,2000,"70,000","2,00,000 kms",Diesel
137,Toyota Corolla Altis,Toyota,2010,"2,89,999","70,000 kms",Petrol
138,Toyota Corolla Altis,Toyota,2012,"3,49,999","59,000 kms",Petrol
139,Toyota Innova 2.5,Toyota,2012,"8,49,999","99,000 kms",Diesel
140,Volkswagen Jetta Highline,Volkswagen,2014,"7,49,999","46,000 kms",Diesel
141,Volkswagen Polo Comfortline,Volkswagen,2015,"3,99,999","2,800 kms",Petrol
142,Volkswagen Polo,Volkswagen,2014,"2,74,999","32,000 kms",Petrol
143,Mahindra Scorpio,Mahindra,2015,"9,84,999","22,000 kms",Diesel
144,Renault Duster,Renault,2014,"4,49,999","50,000 kms",Diesel
145,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
146,Nissan Sunny,Nissan,2012,"2,24,999","45,000 kms",Petrol
147,Hyundai Elite i20,Hyundai,2018,"5,99,999","21,000 kms",Petrol
148,Renault Kwid,Renault,2016,"2,44,999","11,000 kms",Petrol
149,Renault Duster,Renault,2013,"3,99,999","41,000 kms",Diesel
150,Ford EcoSport,Ford,2017,"4,89,999","39,000 kms",Petrol
151,Renault Duster,Renault,2014,"4,74,999","50,000 kms",Diesel
152,Mahindra Scorpio VLX,Mahindra,2011,"4,99,999","66,000 kms",Diesel
153,Maruti Suzuki Alto,Maruti,2018,"3,10,000","3,000 kms",Petrol
154,Chevrolet Spark LT,Chevrolet,2010,"85,000","45,000 kms",Petrol
155,Datsun Redi GO,Datsun,2016,"2,45,000","7,000 kms",Petrol
156,Maruti Suzuki Swift,Maruti,2010,"1,89,500","38,500 kms",Diesel
157,Fiat Punto Emotion,Fiat,2012,"1,69,500","37,200 kms",Diesel
158,Maruti Suzuki Swift,Maruti,2010,"1,59,500","43,200 kms",Diesel
159,Toyota Etios GD,Toyota,2013,"2,75,000","24,800 kms",Petrol
160,Hyundai i20 Sportz,Hyundai,2014,"3,70,000","60,000 kms",Diesel
161,Hyundai i10 Sportz,Hyundai,2010,"1,68,000","45,872 kms",Petrol
162,Chevrolet Beat LT,Chevrolet,2011,"1,50,000","40,000 kms",Diesel
163,Chevrolet Beat LS,Chevrolet,2011,"1,45,000","45,000 kms",Diesel
164,Chevrolet Beat LT,Chevrolet,2012,"98,500","38,000 kms",Diesel
165,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000","50,000 kms",Diesel
166,Tata Indigo CS,Tata,2011,"85,000","11,400 kms",Diesel
167,Toyota Corolla Altis,Toyota,2015,"5,75,000","42,000 kms",Petrol
168,Honda City 1.5,Honda,2014,"5,49,000","39,000 kms",Petrol
169,Maruti Suzuki Swift,Maruti,2011,"2,09,000","47,000 kms",Diesel
170,Hyundai Eon Era,Hyundai,2013,"1,85,000","27,000 kms",Petrol
171,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
172,Mahindra XUV500,Mahindra,2014,"6,99,999","52,000 kms",Diesel
173,Honda Brio,Honda,2012,"2,24,999","30,000 kms",Petrol
174,Ford Fiesta,Ford,2011,"2,74,999","55,000 kms",Diesel
175,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
176,Honda City,Honda,2015,"5,99,999","30,000 kms",Diesel
177,Maruti Suzuki Wagon,Maruti,2012,"1,99,999","44,000 kms",Petrol
178,Honda City,Honda,2014,"5,44,999","45,000 kms",Diesel
179,Hyundai i20,Hyundai,2009,"1,99,000","31,000 kms",Petrol
180,Tata Indigo eCS,Tata,2016,"3,20,000","1,75,430 kms",Diesel
181,Hyundai Fluidic Verna,Hyundai,2015,"5,40,000","38,000 kms",Diesel
182,Mahindra Quanto C8,Mahindra,2013,"3,40,000","37,000 kms",Diesel
183,Fiat Petra ELX,Fiat,2008,"75,000","65,000 kms",Petrol
184,Skoda Fabia 1.2L,Skoda,2011,"1,59,500","38,200 kms",Diesel
185,Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
186,Hyundai Santro Xing,Hyundai,2005,"49,000","7,500 kms",Petrol
187,Maruti Suzuki Ciaz,Maruti,2016,"7,00,000","3,350 kms",Petrol
188,Maruti Suzuki Zen,Maruti,2000,"55,000","60,000 kms",Petrol
189,Honda City,Honda,2015,"4,48,999","54,000 kms",Petrol
190,Hyundai Creta 1.6,Hyundai,2017,"8,95,000","32,000 kms",Petrol
191,Mahindra Scorpio SLX,Mahindra,2007,"3,55,000","75,000 kms",Diesel
192,Mahindra Scorpio SLE,Mahindra,2012,"5,65,000","62,000 kms",Diesel
193,Toyota Innova 2.5,Toyota,2006,"3,65,000","73,000 kms",Diesel
194,Maruti Suzuki Alto,Maruti,2011,"1,45,000","41,000 kms",Petrol
195,Maruti Suzuki Wagon,Maruti,2011,"2,10,000","35,000 kms",Petrol
196,Tata Nano Cx,Tata,2013,"40,000","2,200 kms",Petrol
197,Maruti Suzuki Alto,Maruti,2013,"1,25,000","39,000 kms",Petrol
198,Maruti Suzuki Wagon,Maruti,2009,"1,35,000","45,000 kms",Petrol
199,Maruti Suzuki Swift,Maruti,2006,"1,35,000","45,000 kms",Petrol
200,Tata Sumo Victa,Tata,2012,"2,85,000","65,000 kms",Diesel
201,Maruti Suzuki Wagon,Maruti,2010,"1,45,000","54,870 kms",Petrol
202,Maruti Suzuki Alto,Maruti,2010,"1,35,000","34,580 kms",Petrol
203,Volkswagen Passat Diesel,Volkswagen,2009,"4,50,000","97,000 kms",Diesel
204,Renault Scala RxL,Renault,2015,"3,75,000","25,000 kms",Diesel
205,Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 kms",Diesel
206,Hyundai Grand i10,Hyundai,2014,"3,65,000","20,000 kms",Petrol
207,Hyundai i20 Active,Hyundai,2015,"5,00,000","18,000 kms",Petrol
208,Mahindra Xylo E4,Mahindra,2012,"4,00,000","35,000 kms",Diesel
209,Mahindra Jeep MM,Mahindra,2019,"3,90,000",60 kms,Diesel
210,Renault Duster 110PS,Renault,2012,"5,01,000","35,000 kms",Diesel
211,Mahindra Bolero SLE,Mahindra,2013,"3,30,000","80,200 kms",Diesel
212,Force Motors Force,Force,2015,"5,80,000","3,200 kms",Diesel
213,Maruti Suzuki SX4,Maruti,2012,"2,65,000","46,000 kms",Diesel
214,Mahindra Jeep CL550,Mahindra,2019,"3,79,000","0,000 kms",Diesel
215,Maruti Suzuki Alto,Maruti,2015,"2,19,000","5,000 kms",Petrol
216,Mahindra Jeep CL550,Mahindra,2018,"3,85,000",588 kms,Diesel
217,Toyota Etios,Toyota,2011,"2,75,000","36,000 kms",Diesel
218,Volkswagen Polo,Volkswagen,2015,"3,30,000","38,000 kms",Diesel
219,Honda City ZX,Honda,2008,"1,10,000","45,000 kms",Petrol
220,Maruti Suzuki Wagon,Maruti,2006,"80,000","71,200 kms",Petrol
221,Honda City VX,Honda,2016,"5,19,000","52,000 kms",Diesel
222,Mahindra Thar CRDe,Mahindra,2016,"7,30,000","29,000 kms",Diesel
223,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000","47,000 kms",Diesel
224,Audi A4 1.8,Audi,2009,"6,99,000","47,000 kms",Petrol
225,Mercedes Benz GLA,Mercedes,2015,"20,00,000","20,000 kms",Diesel
226,Land Rover Freelander,Land,2015,"21,00,000","30,000 kms",Diesel
227,Renault Kwid RXT,Renault,2017,"3,40,000","5,000 kms",Petrol
228,Tata Aria Pleasure,Tata,2014,"3,90,000","35,000 kms",Diesel
229,Mercedes Benz B,Mercedes,2014,"14,00,000","31,000 kms",Petrol
230,Datsun GO T,Datsun,2016,"2,45,000","7,000 kms",Petrol
231,Tata Indigo eCS,Tata,2016,"3,20,000","1,75,430 kms",Diesel
232,Tata Indigo eCS,Tata,2016,"3,20,000","1,75,400 kms",Diesel
233,Honda Jazz VX,Honda,2016,"4,50,000","41,000 kms",Petrol
234,Honda Amaze 1.2,Honda,2014,"3,11,000","33,000 kms",Petrol
235,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
236,Honda City,Honda,2012,"3,99,999","45,000 kms",Petrol
237,Honda City,Honda,2015,"5,99,999","39,000 kms",Diesel
238,Honda Amaze,Honda,2015,"3,44,999","22,000 kms",Petrol
239,Audi A4 1.8,Audi,2009,"6,99,000","47,000 kms",Petrol
240,Force Motors Force,Force,2015,"5,80,000","3,200 kms",Diesel
241,Mahindra Scorpio S4,Mahindra,2015,"8,55,000","30,000 kms",Diesel
242,Hyundai i20 Active,Hyundai,2015,"5,35,000","37,000 kms",Diesel
243,Mini Cooper S,Mini,2013,"18,91,111","13,000 kms",Petrol
244,Maruti Suzuki Ciaz,Maruti,2017,"6,99,000","14,000 kms",Petrol
245,Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000","55,000 kms",Diesel
246,Honda Amaze,Honda,2013,"2,84,999","46,000 kms",Diesel
247,Hyundai Eon Sportz,Hyundai,2012,"1,78,000","30,000 kms",Petrol
248,Tata Sumo Gold,Tata,2013,"3,00,000","50,000 kms",Diesel
249,Maruti Suzuki Wagon,Maruti,2003,"90,000","45,000 kms",Petrol
250,Maruti Suzuki Esteem,Maruti,2006,"95,000","45,000 kms",Petrol
251,Maruti Suzuki Eeco,Maruti,2015,"2,55,000","9,300 kms",Petrol
252,Chevrolet Enjoy 1.4,Chevrolet,2013,"2,45,000","55,000 kms",Diesel
253,Hyundai i20 Asta,Hyundai,2012,"3,29,500","36,200 kms",Diesel
254,Ford Figo Diesel,Ford,2014,"1,95,000","50,000 kms",Diesel
255,Maruti Suzuki Eeco,Maruti,2015,"2,51,111","55,000 kms",Petrol
256,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999","45,000 kms",Petrol
257,Maruti Suzuki Esteem,Maruti,2007,"69,999","51,000 kms",Petrol
258,Maruti Suzuki Ritz,Maruti,2014,"2,99,999","19,000 kms",Petrol
259,Maruti Suzuki Dzire,Maruti,2009,"2,20,000","46,000 kms",Petrol
260,Maruti Suzuki Ritz,Maruti,2013,"3,99,999","33,000 kms",Diesel
261,Maruti Suzuki SX4,Maruti,2010,"2,49,999","36,000 kms",Petrol
262,Maruti Suzuki Wagon,Maruti,2015,"2,89,999","22,000 kms",Petrol
263,Mini Cooper S,Mini,2013,"18,91,111","13,500 kms",Petrol
264,Nissan Terrano XL,Nissan,2015,"4,99,999","60,000 kms",Diesel
265,Renault Duster 85,Renault,2013,"4,89,999","27,000 kms",Diesel
266,Renault Duster 85,Renault,2014,"4,89,999","59,000 kms",Diesel
267,Renault Duster 85,Renault,2015,"5,49,999","19,000 kms",Diesel
268,Maruti Suzuki Dzire,Maruti,2013,"3,80,000","30,000 kms",Petrol
269,Renault Kwid RXT,Renault,2018,"3,25,000","15,000 kms",Petrol
270,Maruti Suzuki Maruti,Maruti,2003,"57,000","56,758 kms",Petrol
271,Renault Kwid 1.0,Renault,2018,"3,49,999","10,000 kms",Petrol
272,Renault Lodgy 85,Renault,2018,"6,89,999","20,000 kms",Diesel
273,Renault Scala RxL,Renault,2014,"3,49,999","49,000 kms",Diesel
274,Hyundai Grand i10,Hyundai,2014,"4,10,000","41,000 kms",Petrol
275,Maruti Suzuki Swift,Maruti,2011,"2,25,000","45,000 kms",Petrol
276,Chevrolet Beat LS,Chevrolet,2010,"1,20,000","43,000 kms",Petrol
277,Tata Indigo eCS,Tata,2016,"3,20,000","1,75,430 kms",Diesel
278,Hyundai Santro Xing,Hyundai,2000,"59,000","56,450 kms",Petrol
279,Hyundai Fluidic Verna,Hyundai,2015,"5,40,000","38,000 kms",Diesel
